Product_Name,Category,Flavor,Order_Status,Sales_Channel,Container_Size_Lbs,Servings_Per_Container,Price_Per_Unit_PHP,Units_Sold,Total_Price_PHP,Order_Date,Shipment_Date
Creatine Drive,Creatine,Fruit Punch,Returned,Marketplace,1.1,100,1381,227,313487,10/29/2025,11/02/2025
Creatine Monohydrate Pure,Creatine,Unflavored,Shipped,Marketplace,1.1,100,1645,1940,3191300,9/15/2025,09/18/2025
Mass Gainer Pro,Weight Gainer,Double Chocolate,Cancelled,Gym Partner,12,32,3257,2643,8608251,1/25/2026,01/27/2026
Nitro Whey Concentrate,Protein Powder,Milk Chocolate,Cancelled,Retail Store,2,30,1663,3440,5720720,8/17/2025,08/20/2025
Whey Isolate Elite,Protein Powder,Unflavored,Processing,Retail Store,5,75,3653,4835,17662255,11/7/2026,11/11/2026
Mass Gainer Pro,Weight Gainer,Vanilla Custard,Processing,Retail Store,6,16,2231,942,2101602,3/14/2025,03/23/2025
Pre-Workout Ignition,Pre-Workout,Watermelon,Cancelled,Marketplace,1.33,60,1956,1520,2973120,9/28/2026,10/01/2026
Nitro Whey Concentrate,Protein Powder,Vanilla Ice Cream,Delivered,Gym Partner,5,75,3229,587,1895423,6/27/2026,07/05/2026
Whey Isolate Elite,Protein Powder,Milk Chocolate,Cancelled,Online Store,5,75,2810,3965,11141650,2/21/2025,02/27/2025
Plant Power Vegan,Protein Powder,Unflavored,Cancelled,Gym Partner,5,75,3024,1515,4581360,2/10/2026,02/19/2026
Pre-Workout Ignition,Pre-Workout,Fruit Punch,Processing,Gym Partner,1.33,60,2343,2083,4880469,9/27/2026,10/04/2026
Mass Gainer Pro,Weight Gainer,Double Chocolate,Processing,Marketplace,12,32,4128,1624,6703872,7/22/2025,07/29/2025
Mass Gainer Pro,Weight Gainer,Vanilla Custard,Cancelled,Online Store,12,32,3609,2972,10725948,10/14/2026,10/23/2026
Creatine Monohydrate Pure,Creatine,Unflavored,Cancelled,Marketplace,0.66,60,653,591,385923,1/18/2025,01/21/2025
Plant Power Vegan,Protein Powder,Unflavored,Returned,Online Store,5,75,3117,2966,9245022,10/11/2026,10/21/2026
Nitro Whey Concentrate,Protein Powder,Vanilla Ice Cream,Shipped,Marketplace,2,30,1403,277,388631,10/10/2026,10/18/2026
Titan Weight Gainer,Weight Gainer,Double Chocolate,Delivered,Retail Store,6,16,2007,2573,5164011,10/17/2026,10/22/2026
Creatine Monohydrate Pure,Creatine,Fruit Punch,Processing,Gym Partner,1.1,100,1264,4299,5433936,4/21/2025,04/29/2025
Pre-Workout Ignition,Pre-Workout,Watermelon,Delivered,Marketplace,0.66,30,1491,773,1152543,2/10/2026,02/20/2026
Creatine Drive,Creatine,Unflavored,Shipped,Retail Store,2.2,200,1261,285,359385,9/6/2025,09/14/2025
Max Pre-Workout,Pre-Workout,Watermelon,Cancelled,Retail Store,1,45,2187,613,1340631,2/27/2026,03/07/2026
Plant Power Vegan,Protein Powder,Unflavored,Returned,Retail Store,5,75,2842,1257,3572394,3/6/2026,03/12/2026
Nitro Whey Concentrate,Protein Powder,Unflavored,Cancelled,Gym Partner,5,75,2924,4278,12508872,7/5/2025,07/15/2025
Creatine Drive,Creatine,Unflavored,Cancelled,Online Store,0.66,60,820,1606,1316920,10/3/2026,10/06/2026
Creatine Monohydrate Pure,Creatine,Blue Raspberry,Returned,Gym Partner,1.1,100,1345,2167,2914615,9/6/2025,09/08/2025
Max Pre-Workout,Pre-Workout,Watermelon,Processing,Marketplace,1.33,60,1943,1886,3664498,1/24/2026,01/26/2026
Creatine Monohydrate Pure,Creatine,Unflavored,Shipped,Online Store,0.66,60,705,1026,723330,9/11/2026,09/17/2026
Creatine Monohydrate Pure,Creatine,Blue Raspberry,Delivered,Gym Partner,0.66,60,619,2599,1608781,7/1/2026,07/04/2026
Max Pre-Workout,Pre-Workout,Fruit Punch,Shipped,Gym Partner,1.33,60,1821,4797,8735337,8/20/2025,08/22/2025
Creatine Drive,Creatine,Unflavored,Shipped,Retail Store,0.66,60,841,3360,2825760,10/18/2025,10/27/2025
Titan Weight Gainer,Weight Gainer,Double Chocolate,Shipped,Gym Partner,6,16,1809,3299,5967891,3/2/2025,03/10/2025
Mass Gainer Pro,Weight Gainer,Double Chocolate,Returned,Gym Partner,6,16,2298,216,496368,4/14/2025,04/23/2025
Pre-Workout Ignition,Pre-Workout,Fruit Punch,Shipped,Gym Partner,0.66,30,1401,1414,1981014,12/16/2025,12/25/2025
Titan Weight Gainer,Weight Gainer,Vanilla Custard,Processing,Online Store,6,16,1974,2941,5805534,1/26/2025,01/29/2025
Max Pre-Workout,Pre-Workout,Sour Apple,Shipped,Marketplace,1.33,60,1873,1930,3614890,8/17/2026,08/24/2026
Max Pre-Workout,Pre-Workout,Watermelon,Shipped,Marketplace,1,45,2374,755,1792370,3/18/2026,03/27/2026
Titan Weight Gainer,Weight Gainer,Double Chocolate,Returned,Retail Store,6,16,2087,453,945411,5/26/2025,06/05/2025
Plant Power Vegan,Protein Powder,Cookies & Cream,Processing,Retail Store,5,75,3306,2863,9465078,3/2/2025,03/07/2025
Titan Weight Gainer,Weight Gainer,Double Chocolate,Cancelled,Marketplace,6,16,1805,4977,8983485,6/28/2025,07/08/2025
Plant Power Vegan,Protein Powder,Milk Chocolate,Shipped,Retail Store,2,30,1593,3558,5667894,2/12/2025,02/15/2025
Mass Gainer Pro,Weight Gainer,Double Chocolate,Cancelled,Online Store,12,32,4051,2960,11990960,7/4/2025,07/14/2025
Pre-Workout Ignition,Pre-Workout,Sour Apple,Returned,Marketplace,1.33,60,2372,4562,10821064,8/5/2025,08/09/2025
Whey Isolate Elite,Protein Powder,Cookies & Cream,Shipped,Marketplace,2,30,1791,867,1552797,9/11/2026,09/14/2026
Whey Isolate Elite,Protein Powder,Vanilla Ice Cream,Returned,Online Store,2,30,1298,2512,3260576,2/13/2026,02/16/2026
Whey Isolate Elite,Protein Powder,Vanilla Ice Cream,Returned,Gym Partner,2,30,1464,3833,5611512,7/9/2025,07/12/2025
Creatine Drive,Creatine,Fruit Punch,Processing,Gym Partner,1.1,100,1717,4824,8282808,2/16/2026,02/25/2026
Whey Isolate Elite,Protein Powder,Vanilla Ice Cream,Delivered,Marketplace,5,75,2865,545,1561425,10/18/2025,10/28/2025
Creatine Monohydrate Pure,Creatine,Unflavored,Processing,Gym Partner,1.1,100,1237,2430,3005910,5/4/2026,05/07/2026
Creatine Drive,Creatine,Blue Raspberry,Processing,Retail Store,0.66,60,728,2082,1515696,10/15/2025,10/23/2025
Mass Gainer Pro,Weight Gainer,Double Chocolate,Cancelled,Retail Store,6,16,2009,2881,5787929,12/9/2026,12/18/2026
Nitro Whey Concentrate,Protein Powder,Unflavored,Processing,Gym Partner,5,75,3111,1938,6029118,4/29/2025,05/04/2025
Creatine Drive,Creatine,Unflavored,Returned,Online Store,0.66,60,682,1533,1045506,9/18/2025,09/23/2025
Creatine Monohydrate Pure,Creatine,Blue Raspberry,Cancelled,Retail Store,1.1,100,1694,1659,2810346,1/25/2026,01/30/2026
Mass Gainer Pro,Weight Gainer,Vanilla Custard,Returned,Online Store,6,16,1816,2825,5130200,8/1/2025,08/11/2025
Plant Power Vegan,Protein Powder,Milk Chocolate,Returned,Gym Partner,2,30,1503,4499,6761997,8/4/2026,08/07/2026
Mass Gainer Pro,Weight Gainer,Double Chocolate,Shipped,Retail Store,12,32,3700,2853,10556100,4/25/2025,05/03/2025
Whey Isolate Elite,Protein Powder,Cookies & Cream,Processing,Online Store,2,30,1431,4650,6654150,1/20/2026,01/27/2026
Whey Isolate Elite,Protein Powder,Vanilla Ice Cream,Shipped,Retail Store,5,75,3391,765,2594115,5/28/2025,06/03/2025
Creatine Monohydrate Pure,Creatine,Unflavored,Delivered,Retail Store,2.2,200,1525,4886,7451150,8/24/2025,08/26/2025
Mass Gainer Pro,Weight Gainer,Double Chocolate,Processing,Online Store,12,32,3639,278,1011642,5/28/2026,06/05/2026
Pre-Workout Ignition,Pre-Workout,Sour Apple,Cancelled,Marketplace,0.66,30,1154,2043,2357622,2/1/2026,02/09/2026
Nitro Whey Concentrate,Protein Powder,Cookies & Cream,Delivered,Gym Partner,5,75,3762,2807,10559934,6/30/2025,07/05/2025
Creatine Drive,Creatine,Unflavored,Delivered,Gym Partner,1.1,100,1499,2950,4422050,11/14/2026,11/19/2026
Titan Weight Gainer,Weight Gainer,Double Chocolate,Delivered,Retail Store,6,16,1840,1898,3492320,7/1/2026,07/11/2026
Mass Gainer Pro,Weight Gainer,Vanilla Custard,Cancelled,Marketplace,6,16,2360,1204,2841440,8/3/2026,08/05/2026
Mass Gainer Pro,Weight Gainer,Double Chocolate,Cancelled,Marketplace,12,32,3574,2882,10300268,4/6/2025,04/16/2025
Creatine Drive,Creatine,Blue Raspberry,Delivered,Retail Store,1.1,100,1668,1783,2974044,6/13/2026,06/23/2026
Pre-Workout Ignition,Pre-Workout,Watermelon,Cancelled,Online Store,0.66,30,1118,2756,3081208,8/23/2026,08/25/2026
Max Pre-Workout,Pre-Workout,Sour Apple,Processing,Marketplace,0.66,30,1463,901,1318163,4/4/2025,04/07/2025
Creatine Monohydrate Pure,Creatine,Fruit Punch,Processing,Marketplace,0.66,60,855,4568,3905640,6/13/2026,06/23/2026
Titan Weight Gainer,Weight Gainer,Vanilla Custard,Delivered,Online Store,12,32,3775,4869,18380475,8/15/2025,08/25/2025
Whey Isolate Elite,Protein Powder,Unflavored,Delivered,Online Store,5,75,3621,149,539529,5/31/2026,06/02/2026
Creatine Monohydrate Pure,Creatine,Blue Raspberry,Cancelled,Online Store,1.1,100,1619,1037,1678903,11/16/2026,11/22/2026
Titan Weight Gainer,Weight Gainer,Vanilla Custard,Shipped,Retail Store,6,16,2028,2902,5885256,11/19/2025,11/28/2025
Pre-Workout Ignition,Pre-Workout,Watermelon,Returned,Marketplace,0.66,30,1238,1893,2343534,7/3/2026,07/12/2026
Creatine Drive,Creatine,Blue Raspberry,Cancelled,Retail Store,1.1,100,1294,2223,2876562,9/14/2025,09/18/2025
Pre-Workout Ignition,Pre-Workout,Sour Apple,Cancelled,Retail Store,1.33,60,2183,4842,10570086,1/24/2026,01/28/2026
Nitro Whey Concentrate,Protein Powder,Unflavored,Shipped,Marketplace,2,30,1526,139,212114,2/13/2025,02/17/2025
Creatine Drive,Creatine,Blue Raspberry,Processing,Marketplace,2.2,200,1515,3367,5101005,2/8/2026,02/18/2026
Max Pre-Workout,Pre-Workout,Fruit Punch,Cancelled,Retail Store,1,45,1889,3289,6212921,10/31/2025,11/04/2025
Creatine Drive,Creatine,Fruit Punch,Delivered,Online Store,2.2,200,1205,3740,4506700,1/13/2026,01/22/2026
Whey Isolate Elite,Protein Powder,Cookies & Cream,Delivered,Retail Store,5,75,3518,2933,10318294,10/27/2026,11/04/2026
Nitro Whey Concentrate,Protein Powder,Cookies & Cream,Cancelled,Gym Partner,2,30,1587,1744,2767728,4/25/2025,05/02/2025
Pre-Workout Ignition,Pre-Workout,Fruit Punch,Shipped,Retail Store,1,45,2365,1405,3322825,1/6/2025,01/12/2025
Whey Isolate Elite,Protein Powder,Unflavored,Returned,Marketplace,2,30,1647,1736,2859192,8/10/2025,08/18/2025
Nitro Whey Concentrate,Protein Powder,Vanilla Ice Cream,Returned,Online Store,5,75,3067,69,211623,5/19/2026,05/28/2026
Whey Isolate Elite,Protein Powder,Cookies & Cream,Delivered,Gym Partner,5,75,3468,2757,9561276,7/30/2025,08/08/2025
Creatine Monohydrate Pure,Creatine,Blue Raspberry,Processing,Retail Store,1.1,100,1280,3056,3911680,5/24/2025,05/27/2025
Plant Power Vegan,Protein Powder,Vanilla Ice Cream,Returned,Retail Store,2,30,1556,780,1213680,5/15/2026,05/22/2026
Creatine Drive,Creatine,Unflavored,Returned,Retail Store,0.66,60,771,1246,960666,3/11/2025,03/20/2025
Plant Power Vegan,Protein Powder,Cookies & Cream,Shipped,Marketplace,5,75,3601,4004,14418404,3/2/2025,03/10/2025
Max Pre-Workout,Pre-Workout,Fruit Punch,Returned,Online Store,0.66,30,1102,4461,4916022,5/7/2026,05/16/2026
Whey Isolate Elite,Protein Powder,Cookies & Cream,Processing,Online Store,2,30,1698,3687,6260526,8/22/2026,08/24/2026
Max Pre-Workout,Pre-Workout,Watermelon,Delivered,Online Store,1,45,2393,795,1902435,10/31/2026,11/04/2026
Titan Weight Gainer,Weight Gainer,Vanilla Custard,Shipped,Retail Store,6,16,2356,1758,4141848,3/16/2025,03/22/2025
Nitro Whey Concentrate,Protein Powder,Vanilla Ice Cream,Returned,Online Store,5,75,3113,2251,7007363,5/10/2025,05/19/2025
Max Pre-Workout,Pre-Workout,Watermelon,Processing,Marketplace,0.66,30,1238,4123,5104274,5/17/2025,05/26/2025
Pre-Workout Ignition,Pre-Workout,Sour Apple,Processing,Retail Store,0.66,30,1387,4810,6671470,12/11/2026,12/21/2026
Mass Gainer Pro,Weight Gainer,Vanilla Custard,Delivered,Online Store,6,16,2173,327,710571,5/5/2026,05/09/2026
Pre-Workout Ignition,Pre-Workout,Fruit Punch,Processing,Marketplace,1,45,2070,2883,5967810,12/13/2025,12/18/2025
Creatine Drive,Creatine,Fruit Punch,Cancelled,Marketplace,1.1,100,1633,1385,2261705,8/6/2025,08/12/2025
Nitro Whey Concentrate,Protein Powder,Cookies & Cream,Delivered,Marketplace,2,30,1772,1137,2014764,12/18/2025,12/20/2025
Nitro Whey Concentrate,Protein Powder,Cookies & Cream,Shipped,Retail Store,2,30,1435,822,1179570,4/22/2025,04/24/2025
Whey Isolate Elite,Protein Powder,Cookies & Cream,Processing,Gym Partner,2,30,1713,4823,8261799,12/30/2026,01/04/2027
Titan Weight Gainer,Weight Gainer,Vanilla Custard,Delivered,Marketplace,6,16,1897,2049,3886953,5/17/2025,05/25/2025
Titan Weight Gainer,Weight Gainer,Double Chocolate,Returned,Gym Partner,12,32,3914,3176,12430864,1/7/2025,01/13/2025
Titan Weight Gainer,Weight Gainer,Vanilla Custard,Cancelled,Marketplace,12,32,3737,193,721241,12/5/2025,12/12/2025
Max Pre-Workout,Pre-Workout,Fruit Punch,Processing,Marketplace,1.33,60,1915,1385,2652275,8/23/2026,08/30/2026
Nitro Whey Concentrate,Protein Powder,Vanilla Ice Cream,Shipped,Marketplace,5,75,3141,1173,3684393,8/30/2025,09/07/2025
Creatine Monohydrate Pure,Creatine,Fruit Punch,Delivered,Marketplace,1.1,100,1727,3938,6800926,5/1/2026,05/07/2026
Whey Isolate Elite,Protein Powder,Unflavored,Returned,Online Store,5,75,3629,292,1059668,9/8/2025,09/10/2025
Pre-Workout Ignition,Pre-Workout,Sour Apple,Processing,Online Store,1.33,60,1992,2971,5918232,7/12/2025,07/18/2025
Pre-Workout Ignition,Pre-Workout,Fruit Punch,Cancelled,Gym Partner,0.66,30,1374,3924,5391576,6/7/2026,06/09/2026
Mass Gainer Pro,Weight Gainer,Vanilla Custard,Delivered,Retail Store,12,32,3426,2513,8609538,11/20/2026,11/26/2026
Nitro Whey Concentrate,Protein Powder,Unflavored,Shipped,Gym Partner,5,75,3382,482,1630124,1/13/2026,01/22/2026
Max Pre-Workout,Pre-Workout,Fruit Punch,Shipped,Retail Store,1.33,60,2053,1054,2163862,8/4/2026,08/13/2026
Plant Power Vegan,Protein Powder,Cookies & Cream,Delivered,Marketplace,5,75,3728,1280,4771840,10/17/2025,10/19/2025
Pre-Workout Ignition,Pre-Workout,Fruit Punch,Delivered,Gym Partner,1.33,60,2307,781,1801767,3/28/2026,04/02/2026
Whey Isolate Elite,Protein Powder,Vanilla Ice Cream,Shipped,Online Store,5,75,2855,1861,5313155,2/5/2026,02/15/2026
Mass Gainer Pro,Weight Gainer,Vanilla Custard,Processing,Retail Store,12,32,4188,616,2579808,5/2/2026,05/12/2026
Pre-Workout Ignition,Pre-Workout,Watermelon,Processing,Retail Store,1.33,60,2326,3045,7082670,2/4/2026,02/07/2026
Plant Power Vegan,Protein Powder,Cookies & Cream,Processing,Gym Partner,2,30,1396,345,481620,5/13/2025,05/21/2025
Creatine Drive,Creatine,Blue Raspberry,Delivered,Online Store,1.1,100,1407,4441,6248487,5/12/2025,05/21/2025
Creatine Drive,Creatine,Blue Raspberry,Returned,Gym Partner,2.2,200,1786,2009,3588074,5/23/2026,05/25/2026
Nitro Whey Concentrate,Protein Powder,Unflavored,Returned,Retail Store,2,30,1564,4812,7525968,5/4/2025,05/12/2025
Creatine Drive,Creatine,Blue Raspberry,Cancelled,Gym Partner,1.1,100,1491,3925,5852175,5/5/2026,05/12/2026
Titan Weight Gainer,Weight Gainer,Double Chocolate,Cancelled,Online Store,6,16,1929,2665,5140785,6/23/2026,06/30/2026
Creatine Drive,Creatine,Blue Raspberry,Processing,Retail Store,2.2,200,1477,106,156562,2/26/2026,03/02/2026
Whey Isolate Elite,Protein Powder,Vanilla Ice Cream,Processing,Online Store,5,75,3643,1180,4298740,12/29/2026,01/08/2027
Nitro Whey Concentrate,Protein Powder,Unflavored,Delivered,Retail Store,5,75,3384,4854,16425936,10/21/2025,10/27/2025
Mass Gainer Pro,Weight Gainer,Vanilla Custard,Processing,Gym Partner,12,32,3357,1315,4414455,5/26/2026,06/01/2026
Mass Gainer Pro,Weight Gainer,Double Chocolate,Returned,Retail Store,12,32,3659,1609,5887331,9/9/2025,09/17/2025
Max Pre-Workout,Pre-Workout,Fruit Punch,Processing,Marketplace,0.66,30,1166,2991,3487506,5/16/2025,05/21/2025
Titan Weight Gainer,Weight Gainer,Double Chocolate,Processing,Retail Store,12,32,3917,813,3184521,4/30/2025,05/08/2025
Creatine Drive,Creatine,Fruit Punch,Shipped,Retail Store,1.1,100,1609,2065,3322585,1/29/2026,01/31/2026
Creatine Monohydrate Pure,Creatine,Unflavored,Delivered,Retail Store,2.2,200,1604,4718,7567672,8/29/2025,09/01/2025
Pre-Workout Ignition,Pre-Workout,Sour Apple,Returned,Retail Store,1,45,1830,4457,8156310,6/2/2026,06/12/2026
Whey Isolate Elite,Protein Powder,Milk Chocolate,Cancelled,Online Store,5,75,3162,2612,8259144,10/13/2025,10/19/2025
Creatine Monohydrate Pure,Creatine,Unflavored,Shipped,Retail Store,0.66,60,653,4746,3099138,11/16/2025,11/25/2025
Whey Isolate Elite,Protein Powder,Cookies & Cream,Cancelled,Online Store,2,30,1403,1823,2557669,3/28/2025,04/07/2025
Max Pre-Workout,Pre-Workout,Sour Apple,Processing,Online Store,1.33,60,2358,3074,7248492,9/15/2025,09/17/2025
Mass Gainer Pro,Weight Gainer,Double Chocolate,Processing,Online Store,6,16,2319,303,702657,12/11/2025,12/14/2025
Titan Weight Gainer,Weight Gainer,Vanilla Custard,Shipped,Online Store,6,16,2320,4744,11006080,11/8/2025,11/18/2025
Nitro Whey Concentrate,Protein Powder,Cookies & Cream,Delivered,Retail Store,5,75,3333,4035,13448655,2/20/2026,02/24/2026
Mass Gainer Pro,Weight Gainer,Vanilla Custard,Cancelled,Online Store,6,16,1842,1952,3595584,11/10/2026,11/13/2026
Plant Power Vegan,Protein Powder,Vanilla Ice Cream,Shipped,Online Store,5,75,2894,4901,14183494,1/2/2026,01/06/2026
Titan Weight Gainer,Weight Gainer,Vanilla Custard,Processing,Gym Partner,12,32,3855,4652,17933460,5/19/2025,05/24/2025
Plant Power Vegan,Protein Powder,Vanilla Ice Cream,Delivered,Online Store,2,30,1473,4216,6210168,9/11/2025,09/13/2025
Creatine Drive,Creatine,Unflavored,Shipped,Marketplace,2.2,200,1474,370,545380,6/6/2026,06/14/2026
Creatine Monohydrate Pure,Creatine,Unflavored,Shipped,Marketplace,2.2,200,1435,2968,4259080,11/26/2025,12/04/2025
Pre-Workout Ignition,Pre-Workout,Fruit Punch,Shipped,Marketplace,0.66,30,1476,3999,5902524,5/21/2026,05/26/2026
Max Pre-Workout,Pre-Workout,Fruit Punch,Processing,Marketplace,1,45,1897,660,1252020,4/3/2025,04/13/2025
Creatine Monohydrate Pure,Creatine,Unflavored,Cancelled,Marketplace,1.1,100,1793,3763,6747059,10/30/2025,11/07/2025
Creatine Monohydrate Pure,Creatine,Blue Raspberry,Shipped,Marketplace,1.1,100,1534,1463,2244242,9/11/2026,09/17/2026
Max Pre-Workout,Pre-Workout,Sour Apple,Processing,Retail Store,1.33,60,2281,2200,5018200,4/9/2026,04/13/2026
Creatine Monohydrate Pure,Creatine,Unflavored,Shipped,Gym Partner,0.66,60,834,2815,2347710,11/25/2026,12/04/2026
Plant Power Vegan,Protein Powder,Vanilla Ice Cream,Shipped,Online Store,5,75,2828,4026,11385528,9/23/2025,10/02/2025
Plant Power Vegan,Protein Powder,Unflavored,Returned,Retail Store,2,30,1481,3469,5137589,7/6/2026,07/09/2026
Pre-Workout Ignition,Pre-Workout,Fruit Punch,Cancelled,Online Store,0.66,30,1108,3152,3492416,9/2/2026,09/06/2026
Nitro Whey Concentrate,Protein Powder,Milk Chocolate,Shipped,Online Store,5,75,3134,4034,12642556,5/25/2026,05/30/2026
Mass Gainer Pro,Weight Gainer,Double Chocolate,Returned,Retail Store,6,16,2211,51,112761,3/10/2026,03/12/2026
Plant Power Vegan,Protein Powder,Milk Chocolate,Cancelled,Gym Partner,5,75,2985,814,2429790,9/20/2025,09/29/2025
Plant Power Vegan,Protein Powder,Vanilla Ice Cream,Delivered,Gym Partner,2,30,1417,1070,1516190,12/3/2026,12/09/2026
Pre-Workout Ignition,Pre-Workout,Watermelon,Processing,Online Store,0.66,30,1312,4079,5351648,8/21/2025,08/28/2025
Nitro Whey Concentrate,Protein Powder,Cookies & Cream,Cancelled,Gym Partner,2,30,1598,1080,1725840,8/26/2026,09/05/2026
Nitro Whey Concentrate,Protein Powder,Milk Chocolate,Cancelled,Retail Store,2,30,1646,3094,5092724,3/3/2026,03/09/2026
Max Pre-Workout,Pre-Workout,Fruit Punch,Returned,Marketplace,1,45,2342,4999,11707658,9/24/2026,10/02/2026
Titan Weight Gainer,Weight Gainer,Double Chocolate,Returned,Marketplace,12,32,3968,3041,12066688,2/5/2025,02/09/2025
Plant Power Vegan,Protein Powder,Milk Chocolate,Processing,Online Store,2,30,1722,667,1148574,8/17/2025,08/19/2025
Max Pre-Workout,Pre-Workout,Fruit Punch,Delivered,Marketplace,1.33,60,2169,4063,8812647,10/12/2026,10/18/2026
Titan Weight Gainer,Weight Gainer,Double Chocolate,Returned,Gym Partner,12,32,4165,4135,17222275,9/21/2025,09/24/2025
Pre-Workout Ignition,Pre-Workout,Sour Apple,Processing,Marketplace,0.66,30,1123,4640,5210720,7/3/2025,07/09/2025
Mass Gainer Pro,Weight Gainer,Double Chocolate,Cancelled,Gym Partner,12,32,3993,4928,19677504,5/16/2026,05/24/2026
Creatine Monohydrate Pure,Creatine,Blue Raspberry,Cancelled,Marketplace,1.1,100,1592,3001,4777592,4/1/2025,04/03/2025
Whey Isolate Elite,Protein Powder,Milk Chocolate,Delivered,Gym Partner,5,75,3308,1637,5415196,5/12/2026,05/18/2026
Titan Weight Gainer,Weight Gainer,Double Chocolate,Delivered,Gym Partner,6,16,1877,4910,9216070,11/24/2025,11/29/2025
Max Pre-Workout,Pre-Workout,Watermelon,Returned,Marketplace,1,45,2236,2355,5265780,6/3/2026,06/13/2026
Pre-Workout Ignition,Pre-Workout,Fruit Punch,Processing,Gym Partner,1.33,60,2274,4634,10537716,11/13/2025,11/23/2025
Whey Isolate Elite,Protein Powder,Cookies & Cream,Cancelled,Gym Partner,2,30,1730,2048,3543040,12/23/2025,12/26/2025
Whey Isolate Elite,Protein Powder,Unflavored,Returned,Gym Partner,5,75,3000,1001,3003000,10/23/2025,11/01/2025
Nitro Whey Concentrate,Protein Powder,Unflavored,Cancelled,Gym Partner,5,75,2974,159,472866,4/25/2025,05/05/2025
Whey Isolate Elite,Protein Powder,Cookies & Cream,Shipped,Marketplace,2,30,1369,822,1125318,3/18/2025,03/25/2025
Max Pre-Workout,Pre-Workout,Fruit Punch,Delivered,Online Store,0.66,30,1154,3147,3631638,2/9/2026,02/15/2026
Mass Gainer Pro,Weight Gainer,Double Chocolate,Cancelled,Online Store,6,16,1873,594,1112562,1/29/2026,02/05/2026
Nitro Whey Concentrate,Protein Powder,Unflavored,Cancelled,Marketplace,2,30,1746,791,1381086,11/10/2025,11/14/2025
Plant Power Vegan,Protein Powder,Milk Chocolate,Returned,Retail Store,5,75,3278,3619,11863082,7/14/2025,07/22/2025
Pre-Workout Ignition,Pre-Workout,Sour Apple,Cancelled,Online Store,1.33,60,2036,4735,9640460,4/30/2025,05/04/2025
Pre-Workout Ignition,Pre-Workout,Fruit Punch,Returned,Marketplace,1.33,60,1801,1953,3517353,10/6/2025,10/16/2025
Creatine Drive,Creatine,Fruit Punch,Returned,Marketplace,0.66,60,669,996,666324,10/22/2026,10/28/2026
Mass Gainer Pro,Weight Gainer,Double Chocolate,Cancelled,Retail Store,6,16,2151,555,1193805,12/7/2025,12/13/2025
Whey Isolate Elite,Protein Powder,Cookies & Cream,Returned,Gym Partner,2,30,1733,1706,2956498,1/16/2026,01/22/2026
Mass Gainer Pro,Weight Gainer,Double Chocolate,Processing,Gym Partner,12,32,3669,837,3070953,6/26/2026,06/30/2026
Plant Power Vegan,Protein Powder,Milk Chocolate,Cancelled,Online Store,5,75,3059,4039,12355301,11/30/2026,12/10/2026
Mass Gainer Pro,Weight Gainer,Double Chocolate,Shipped,Online Store,6,16,2239,3014,6748346,6/29/2026,07/05/2026
Pre-Workout Ignition,Pre-Workout,Fruit Punch,Shipped,Online Store,1,45,2261,4381,9905441,1/5/2026,01/11/2026
Max Pre-Workout,Pre-Workout,Fruit Punch,Delivered,Online Store,0.66,30,1211,166,201026,9/4/2026,09/11/2026
Nitro Whey Concentrate,Protein Powder,Milk Chocolate,Processing,Gym Partner,5,75,2982,198,590436,10/24/2025,11/01/2025
Creatine Monohydrate Pure,Creatine,Unflavored,Cancelled,Gym Partner,0.66,60,669,2172,1453068,6/14/2025,06/16/2025
Titan Weight Gainer,Weight Gainer,Double Chocolate,Processing,Gym Partner,12,32,3268,2768,9045824,3/22/2025,03/25/2025
Creatine Drive,Creatine,Fruit Punch,Cancelled,Retail Store,0.66,60,702,4876,3422952,8/9/2026,08/15/2026
Mass Gainer Pro,Weight Gainer,Vanilla Custard,Processing,Marketplace,12,32,3334,3985,13285990,11/26/2026,11/28/2026
Max Pre-Workout,Pre-Workout,Sour Apple,Returned,Online Store,1.33,60,1934,876,1694184,9/22/2025,09/29/2025
Nitro Whey Concentrate,Protein Powder,Milk Chocolate,Cancelled,Gym Partner,2,30,1331,3914,5209534,4/3/2026,04/07/2026
Plant Power Vegan,Protein Powder,Unflavored,Returned,Online Store,2,30,1780,2725,4850500,2/14/2025,02/16/2025
Titan Weight Gainer,Weight Gainer,Vanilla Custard,Returned,Online Store,6,16,1858,4398,8171484,11/28/2026,12/01/2026
Pre-Workout Ignition,Pre-Workout,Fruit Punch,Returned,Gym Partner,1.33,60,2122,4750,10079500,9/8/2025,09/16/2025
Nitro Whey Concentrate,Protein Powder,Milk Chocolate,Processing,Online Store,5,75,3053,3448,10526744,1/14/2025,01/24/2025
Mass Gainer Pro,Weight Gainer,Double Chocolate,Delivered,Gym Partner,6,16,2051,4323,8866473,11/1/2025,11/05/2025
Nitro Whey Concentrate,Protein Powder,Milk Chocolate,Delivered,Retail Store,5,75,3489,778,2714442,12/15/2026,12/20/2026
Max Pre-Workout,Pre-Workout,Watermelon,Returned,Retail Store,1.33,60,2222,3165,7032630,11/25/2026,12/05/2026
Whey Isolate Elite,Protein Powder,Milk Chocolate,Delivered,Online Store,2,30,1501,3155,4735655,11/1/2025,11/08/2025
Mass Gainer Pro,Weight Gainer,Vanilla Custard,Cancelled,Marketplace,12,32,3315,1534,5085210,12/11/2025,12/16/2025
